Genotype,Sex,ChrY_cov,,,,,geno_match_temp,Isolate_covFileName
8415_264,0,0.12845,,,,,8415_264,S.8415.268.R1.match.sdr.cov.txt
8415_387,0,0.128649,,,,,8415_387,S.8415.391.R1.match.sdr.cov.txt
8415_138,0,0.128711,,,,,8415_138,S.8415.142.R1.match.sdr.cov.txt
8415_133,2,0.128712,,,,,8415_133,S.8415.137.R1.match.sdr.cov.txt
8415_029,0,0.128721,,,,,8415_029,S.8415.033.R1.match.sdr.cov.txt
8415_055,0,0.129319,,,,,8415_055,S.8415.059.R1.match.sdr.cov.txt
8415_326,1,0.129404,,,,,8415_326,S.8415.33.R1.match.sdr.cov.txt
8412_099,2,0.129591,,,,,8412_099,S.8412.099.R1.match.sdr.cov.txt
8412_176,0,0.129634,,,,,8412_176,S.8412.176.R1.match.sdr.cov.txt
8412_385,2,0.129824,,,,,8412_385,S.8412.389.R1.match.sdr.cov.txt
8415_188,2,0.129834,,,,,8415_188,S.8415.192.R1.match.sdr.cov.txt
8412_274,2,0.130017,,,,,8412_274,S.8412.274.R1.match.sdr.cov.txt
8412_405,2,0.130229,,,,,8412_405,S.8412.409.R1.match.sdr.cov.txt
8415_118,0,0.130431,,,,,8415_118,S.8415.122.R1.match.sdr.cov.txt
8415_153,2,0.130605,,,,,8415_153,S.8415.157.R1.match.sdr.cov.txt
8412_288,2,0.130722,,,,,8412_288,S.8412.288.R1.match.sdr.cov.txt
8412_030,0,0.130909,,,,,8412_030,S.8412.03.R1.match.sdr.cov.txt
8415_258,0,0.130921,,,,,8415_258,S.8415.262.R1.match.sdr.cov.txt
8412_470,3,0.131067,,,,,8412_47,S.8412.474.R1.match.sdr.cov.txt
8415_412,4,0.131346,,,,,8415_412,S.8415.416.R1.match.sdr.cov.txt
8415_145,0,0.131494,,,,,8415_145,S.8415.149.R1.match.sdr.cov.txt
8412_076,0,0.13152,,,,,8412_076,S.8412.076.R1.match.sdr.cov.txt
8415_080,0,0.1316,,,,,8415_08,S.8415.084.R1.match.sdr.cov.txt
8412_059,2,0.131765,,,,,8412_059,S.8412.059.R1.match.sdr.cov.txt
8412_427,0,0.13183,,,,,8412_427,S.8412.431.R1.match.sdr.cov.txt
8412_392,3,0.131879,,,,,8412_392,S.8412.396.R1.match.sdr.cov.txt
8412_445,2,0.131972,,,,,8412_445,S.8412.449.R1.match.sdr.cov.txt
8412_016,1,0.132175,,,,,8412_016,S.8412.016.R1.match.sdr.cov.txt
8412_375,4,0.13227,,,,,8412_375,S.8412.379.R1.match.sdr.cov.txt
8415_333,3,0.132289,,,,,8415_333,S.8415.337.R1.match.sdr.cov.txt
8415_156,0,0.132402,,,,,8415_156,S.8415.16.R1.match.sdr.cov.txt
8412_139,2,0.132452,,,,,8412_139,S.8412.139.R1.match.sdr.cov.txt
8415_160,4,0.132534,,,,,8415_16,S.8415.164.R1.match.sdr.cov.txt
8415_220,0,0.13257,,,,,8415_22,S.8415.224.R1.match.sdr.cov.txt
8415_289,0,0.132774,,,,,8415_289,S.8415.293.R1.match.sdr.cov.txt
8412_448,2,0.132791,,,,,8412_448,S.8412.452.R1.match.sdr.cov.txt
8415_194,2,0.132872,,,,,8415_194,S.8415.198.R1.match.sdr.cov.txt
8412_419,0,0.13301,,,,,8412_419,S.8412.423.R1.match.sdr.cov.txt
8412_468,1,0.133095,,,,,8412_468,S.8412.472.R1.match.sdr.cov.txt
8415_034,0,0.133187,,,,,8415_034,S.8415.038.R1.match.sdr.cov.txt
8415_263,0,0.133236,,,,,8415_263,S.8415.267.R1.match.sdr.cov.txt
8412_426,1,0.133535,,,,,8412_426,S.8412.43.R1.match.sdr.cov.txt
8412_039,1,0.133626,,,,,8412_039,S.8412.039.R1.match.sdr.cov.txt
8415_142,0,0.133839,,,,,8415_142,S.8415.146.R1.match.sdr.cov.txt
8412_395,0,0.133862,,,,,8412_395,S.8412.399.R1.match.sdr.cov.txt
8415_021,2,0.133896,,,,,8415_021,S.8415.025.R1.match.sdr.cov.txt
8412_078,0,0.133986,,,,,8412_078,S.8412.078.R1.match.sdr.cov.txt
8415_428,3,0.134054,,,,,8415_428,S.8415.432.R1.match.sdr.cov.txt
8216_05,0,0.134096,,,,,8216_05,S.8216.005.R1.match.sdr.cov.txt
8415_013,0,0.134179,,,,,8415_013,S.8415.017.R1.match.sdr.cov.txt
8415_069,1,0.134211,,,,,8415_069,S.8415.073.R1.match.sdr.cov.txt
8412_082,4,0.134229,,,,,8412_082,S.8412.082.R1.match.sdr.cov.txt
8415_373,0,0.13423,,,,,8415_373,S.8415.377.R1.match.sdr.cov.txt
8415_092,1,0.134494,,,,,8415_092,S.8415.096.R1.match.sdr.cov.txt
8415_244,0,0.134509,,,,,8415_244,S.8415.248.R1.match.sdr.cov.txt
8415_309,0,0.134549,,,,,8415_309,S.8415.313.R1.match.sdr.cov.txt
8415_054,4,0.134694,,,,,8415_054,S.8415.058.R1.match.sdr.cov.txt
8415_046,2,0.134732,,,,,8415_046,S.8415.05.R1.match.sdr.cov.txt
8415_249,0,0.13475,,,,,8415_249,S.8415.253.R1.match.sdr.cov.txt
